P,BER
0.0,0.0000
0.5,0.0000
1.0,0.0000
1.5,0.0000
2.0,0.0000
2.5,0.0001
3.0,0.0003
3.5,0.0008
4.0,0.0016
4.5,0.0033
5.0,0.0057
5.5,0.0094
6.0,0.0147
6.5,0.0214
7.0,0.0301
7.5,0.0394
8.0,0.0488
8.5,0.0593
9.0,0.0690
9.5,0.0782
