P,FER
0.0,0.0000
0.5,0.0000
1.0,0.0001
1.5,0.0004
2.0,0.0012
2.5,0.0041
3.0,0.0076
3.5,0.0184
4.0,0.0335
4.5,0.0615
5.0,0.0992
5.5,0.1502
6.0,0.2200
6.5,0.3023
7.0,0.4004
7.5,0.4987
8.0,0.5911
8.5,0.6850
9.0,0.7650
9.5,0.8333
